accent,n_utterances,wer,mean_wer,wer_ci_lo,wer_ci_hi,fairness_delta
20,150,0.8785,0.7767,0.7387,0.8111,0.8625
16,150,0.7224,0.5974,0.5436,0.6533,0.8625
10,150,0.7153,0.5636,0.5066,0.6195,0.8625
4,53,0.6136,0.4144,0.3163,0.5128,0.8625
9,150,0.6125,0.485,0.4325,0.533,0.8625
3,50,0.574,0.4831,0.4016,0.5693,0.8625
17,150,0.562,0.4635,0.4134,0.5095,0.8625
7,93,0.5145,0.4575,0.3958,0.5222,0.8625
15,150,0.4846,0.3977,0.3468,0.4492,0.8625
19,150,0.4641,0.4406,0.393,0.4946,0.8625
22,150,0.4327,0.2048,0.1572,0.2562,0.8625
18,150,0.0159,0.0186,0.0087,0.0306,0.8625
