noise_type,snr_db,wer,delta_rel,n_utterances
clean,inf,0.082,0.0,
gaussian,-5,0.4733,477.4,100.0
gaussian,0,0.0936,14.2,100.0
gaussian,5,0.0706,-13.9,100.0
gaussian,10,0.0519,-36.7,100.0
gaussian,15,0.0519,-36.7,100.0
gaussian,20,0.0508,-38.0,100.0
babble,0,0.1005,22.7,100.0
babble,5,0.0663,-19.1,100.0
babble,10,0.0545,-33.5,100.0
babble,15,0.0524,-36.1,100.0
babble,20,0.0513,-37.4,100.0
traffic,0,0.0979,19.4,100.0
traffic,5,0.0668,-18.4,100.0
traffic,10,0.0524,-36.1,100.0
traffic,15,0.0519,-36.7,100.0
traffic,20,0.0508,-38.0,100.0
office,0,0.0947,15.5,100.0
office,5,0.0679,-17.1,100.0
office,10,0.0524,-36.1,100.0
office,15,0.0508,-38.0,100.0
office,20,0.0508,-38.0,100.0
